Location,Sector,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Annual
Melrose,Commercial & Industrial,2018,"365,492","258,129","269,105","187,109","113,734","72,436","59,417","58,261","65,953","139,985","241,953","297,112","2,128,686"
Eastham,Total,2018,"365,551","263,334","266,599","182,893","89,264","65,127","64,395","60,661","60,975","110,951","208,905","307,903","2,046,559"
West Boylston,Total,2015,"365,760","350,789","300,678","148,146","67,058","42,363","35,833","34,429","44,280","88,378","145,958","292,567","1,916,237"
Medway,Residential,2016,"365,803","342,231","252,591","177,243","96,319","51,810","43,796","42,605","50,618","217,559","418,495","717,508","2,776,578"
Mattapoisett,Total,2019,"366,605","262,037","254,403","131,887","89,132","40,632","35,552","36,755","36,686","70,217","190,699","262,969","1,777,574"
Townsend,Total,2013,"366,892","320,199","257,584","157,371","77,970","48,789","39,038","42,022","54,284","108,325","238,683","317,986","2,029,145"
Manchester,Residential,2014,"367,372","334,082","301,430","169,375","99,290","58,362","47,206","46,833","58,346","107,330","205,272","324,355","2,119,254"
Fairhaven,Commercial & Industrial,2018,"367,375","266,520","334,452","210,283","96,662","64,661","55,651","55,317","57,460","119,679","207,907","282,626","2,118,593"
Melrose,Commercial & Industrial,2015,"367,591","343,077","285,283","155,628","133,893","113,529","100,361","99,429","114,859","178,358","246,299","219,901","2,358,207"
Manchester,Total,2013,"367,976","324,511","299,361","176,868","97,575","61,947","51,671","52,360","61,371","124,475","251,267","420,989","2,290,371"
Brewster,Residential,2014,"368,772","364,702","316,938","191,747","98,079","60,982","56,865","55,515","56,900","99,613","193,344","317,396","2,180,851"
Ashland,Commercial & Industrial,2014,"368,788","317,203","297,381","180,375","107,781","68,735","55,797","65,447","81,734","112,743","195,047","259,788","2,110,819"
Montague,Total,2015,"368,901","365,911","355,939","238,844","138,592","138,511","132,873","137,021","129,850","175,289","208,469","145,522","2,535,723"
Ashland,Commercial & Industrial,2018,"368,928","267,405","268,720","189,617","98,545","69,413","57,358","58,289","58,872","123,513","212,007","282,309","2,054,977"
Wilbraham,Commercial & Industrial,2018,"369,082","215,798","223,572","162,687","73,842","60,685","58,717","59,588","65,223","116,239","195,610","309,092","1,910,136"
Georgetown,Residential,2015,"369,451","357,640","284,972","144,386","68,437","47,124","38,840","36,605","45,531","96,253","147,005","219,449","1,855,692"
Hanson,Residential,2018,"369,980","260,962","261,840","174,103","69,954","43,203","34,279","32,675","42,268","113,857","217,219","304,501","1,924,841"
Merrimac,Commercial & Industrial,2016,"37,475","34,673","24,484","27,214","21,097","20,479","18,806","18,841","17,907","27,608","39,728","42,956","331,267"
Harvard,Commercial & Industrial,2017,"37,487","30,567","33,651","16,053","8,642","3,980","2,907","2,994","3,319","5,957","23,562","46,070","215,190"
Lanesborough,Commercial & Industrial,2014,"37,577","35,519","30,017","13,875","7,036","4,533","4,383","4,519","4,464","7,388","15,692","28,888","193,889"
Sutton,Residential,2014,"37,795","33,803","30,103","17,194","8,788","4,367","3,814","3,733","4,809","11,099","22,166","35,713","213,384"
Acushnet,Commercial & Industrial,2016,"37,835","31,593","24,542","73,089","66,214","119,857","103,177","159,005","171,469","217,501","191,762","165,617","1,361,662"
Adams,Residential,2015,"370,047","360,065","302,544","155,390","69,555","39,364","34,340","32,841","41,715","97,342","163,299","69,705","1,736,205"
Salisbury,Residential,2019,"370,257","295,860","262,212","145,868","92,460","46,161","40,568","38,534","44,417","94,744","216,050","292,750","1,939,882"
Adams,Residential,2019,"370,358","327,137","273,512","152,910","84,840","48,173","35,252","35,287","45,861","103,389","232,836","302,609","2,012,164"
Maynard,Residential,2016,"371,095","343,820","296,632","188,963","98,721","54,082","45,512","43,509","57,206","129,352","234,293","365,556","2,228,742"
Deerfield,Commercial & Industrial,2015,"371,249","346,295","373,712","256,984","243,628","268,854","260,932","299,703","288,551","344,100","280,917","165,948","3,500,873"
Lenox,Commercial & Industrial,2018,"372,028","271,004","274,829","207,139","103,837","65,329","12,256","68,558","75,862","150,393","233,409","293,596","2,128,239"
Carver,Total,2016,"372,299","351,877","318,784","250,237","194,268","156,510","85,699","66,718","129,084","186,559","251,781","378,119","2,741,937"
Millis,Total,2015,"372,884","370,789","180,221","124,490","54,614","34,354","30,678","30,161","35,178","74,435","133,182","223,714","1,664,700"
Seekonk,Commercial & Industrial,2013,"373,701","347,227","297,195","169,297","77,066","47,694","44,007","46,195","52,726","107,812","235,747","366,671","2,165,338"
Weston,Commercial & Industrial,2015,"374,229","361,638","315,717","184,420","83,913","47,316","32,045","27,108","44,665","122,029","197,887","244,759","2,035,726"
Cohasset,Residential,2017,"374,282","352,507","344,746","199,096","114,345","68,788","48,884","49,696","55,746","96,295","232,889","412,498","2,349,772"
Townsend,Total,2014,"374,495","329,065","330,746","167,525","85,903","49,136","42,085","43,081","51,284","96,279","177,102","260,797","2,007,497"
Northbridge,Commercial & Industrial,2013,"376,176","333,034","280,270","309,104","43,593","100,251","95,128","86,147","26,110","124,608","136,846","468,115","2,379,382"
Manchester,Total,2016,"376,262","376,474","306,331","209,088","118,150","69,252","56,729","52,157","64,546","136,385","231,938","381,534","2,378,844"
Pepperell,Total,2019,"376,708","329,417","275,046","152,920","90,207","52,740","37,417","35,298","45,284","107,734","243,364","319,011","2,065,146"
Deerfield,Commercial & Industrial,2019,"377,071","336,085","317,945","33,091","263,547","93,779","250,316","199,597","245,839","291,682","304,319","352,151","3,065,422"
Seekonk,Residential,2014,"377,567","345,862","293,788","169,091","87,024","48,345","41,854","41,556","48,031","102,043","198,931","319,025","2,073,117"
Manchester,Residential,2019,"378,186","330,692","273,848","164,669","102,216","60,784","43,921","44,625","55,684","101,347","246,486","299,756","2,102,215"
Pepperell,Total,2014,"378,246","342,504","319,008","164,830","81,323","46,386","40,525","39,685","51,511","104,163","218,208","325,420","2,111,807"
Lincoln,Total,2013,"378,385","329,987","281,127","185,333","86,865","47,159","41,918","46,571","65,012","138,920","264,632","412,041","2,277,949"
Rockland,Commercial & Industrial,2017,"378,985","329,950","349,489","221,830","146,631","101,956","85,665","98,885","102,990","144,025","251,324","433,055","2,644,785"
Sudbury,Commercial & Industrial,2014,"379,028","344,011","315,248","162,053","89,306","44,390","38,143","39,733","49,883","102,251","202,021","308,386","2,074,455"
Marshfield,Commercial & Industrial,2016,"379,163","274,469","199,498","152,407","95,278","53,042","49,410","53,427","55,441","113,580","258,289","445,341","2,129,346"
Spencer,Commercial & Industrial,2017,"379,487","308,508","327,539","204,270","179,387","145,978","120,197","138,510","135,631","188,801","252,573","321,465","2,702,344"
Cohasset,Residential,2016,"379,531","340,312","266,367","203,251","113,381","53,517","53,905","41,167","51,030","112,002","237,371","360,735","2,212,569"
Ludlow,Commercial & Industrial,2013,"379,586","365,212","240,380","149,339","83,026","66,851","60,325","58,089","51,463","93,255","204,869","356,964","2,109,359"
Norwell,Residential,2018,"379,712","257,797","283,349","176,633","72,982","51,198","35,568","34,696","47,912","122,529","218,616","300,704","1,981,696"
Sutton,Residential,2017,"38,096","31,963","29,217","17,821","9,475","5,137","3,972","4,060","4,693","10,065","22,902","42,920","220,321"
East Brookfield,Total,2013,"38,382","33,329","29,681","15,252","8,064","5,322","4,516","4,705","5,638","12,197","25,676","43,634","226,396"
West Newbury,Residential,2014,"38,437","32,998","31,793","16,062","7,543","4,373","3,445","3,399","3,724","7,985","18,311","27,562","195,631"
Lancaster,Total,2013,"38,908","35,498","33,105","17,550","8,719","5,931","4,844","5,083","6,235","15,334","29,865","48,474","249,547"
Brookfield,Total,2016,"38,935","37,248","26,537","18,288","8,736","3,977","3,285","3,080","4,191","12,010","23,152","37,443","216,882"
Hopedale,Commercial & Industrial,2016,"38,974","30,556","23,951","16,863","9,404","4,290","3,543","3,428","5,363","12,660","22,025","34,915","205,973"
Georgetown,Residential,2018,"380,012","261,593","257,964","169,464","65,689","47,022","37,731","36,482","47,577","121,136","225,474","309,958","1,960,103"
Reading,Commercial & Industrial,2018,"380,373","254,513","271,736","179,687","92,759","63,584","57,881","57,495","63,109","139,410","237,325","301,444","2,099,316"
North Reading,Commercial & Industrial,2018,"381,024","261,332","284,240","199,653","85,802","48,344","35,931","37,109","45,207","111,090","239,352","308,896","2,037,981"
Littleton,Commercial & Industrial,2019,"382,048","334,632","300,708","160,794","244,438","65,381","81,675","73,174","76,421","149,145","243,722","391,384","2,503,523"
Hanover,Commercial & Industrial,2013,"382,229","352,378","305,332","173,638","85,069","49,293","37,020","39,253","46,752","97,428","226,970","367,906","2,163,268"
Hanson,Total,2013,"382,280","364,288","309,360","182,986","85,496","51,928","41,978","44,130","53,444","109,731","257,320","389,753","2,272,696"
Ipswich,Residential,2014,"382,506","367,490","308,990","179,580","86,708","51,439","39,932","40,607","51,284","106,771","214,979","350,823","2,181,109"
Winchester,Commercial & Industrial,2018,"382,657","269,066","268,159","204,799","114,776","84,479","100,418","84,526","89,371","137,730","239,613","291,535","2,267,128"
Townsend,Total,2016,"382,825","292,004","226,997","170,663","90,255","47,734","42,670","36,241","44,755","94,740","180,679","351,683","1,961,246"
Townsend,Total,2018,"383,382","277,298","264,736","170,387","65,155","43,330","40,635","40,264","50,917","122,336","229,229","328,791","2,016,461"
Rockland,Commercial & Industrial,2014,"383,587","344,465","329,421","195,183","109,656","62,573","75,409","60,637","87,834","151,009","252,265","356,745","2,408,784"
Uxbridge,Total,2013,"383,842","313,065","320,780","252,956","99,287","63,135","45,716","41,739","50,245","67,770","124,655","347,628","2,110,819"
Williamstown,Total,2017,"384,033","280,798","360,424","185,509","136,056","108,804","104,934","106,573","115,768","126,910","45,171","338,218","2,293,197"
Carver,Total,2015,"384,159","370,874","362,895","240,905","182,248","153,986","109,126","154,451","155,494","195,529","238,730","304,557","2,852,954"
Abington,Residential,2017,"384,597","320,057","343,366","198,230","104,320","66,070","49,889","49,883","51,934","90,966","231,795","465,042","2,356,149"
North Reading,Commercial & Industrial,2019,"384,599","363,316","311,906","166,595","99,249","55,919","38,104","37,155","57,053","104,770","253,799","337,576","2,210,038"
Sudbury,Commercial & Industrial,2015,"384,997","372,720","307,425","160,510","65,734","44,276","37,254","35,283","43,774","95,550","168,360","234,989","1,950,873"
Clinton,Residential,2014,"385,563","337,654","321,328","144,451","72,538","42,456","35,087","37,299","41,770","91,568","210,368","285,578","2,005,659"
Spencer,Commercial & Industrial,2019,"386,109","334,965","321,282","223,224","191,704","159,033","127,153","139,849","159,569","232,657","260,658","305,547","2,841,752"
Middleton,Commercial & Industrial,2019,"386,140","312,460","307,999","219,442","150,367","124,029","74,635","97,114","93,500","148,718","212,701","348,339","2,475,443"
Westwood,Commercial & Industrial,2016,"386,263","337,919","291,754","202,422","124,412","82,088","65,386","61,366","88,218","158,594","235,436","410,260","2,444,118"
Manchester,Residential,2018,"386,763","260,911","280,984","181,734","96,125","54,963","43,396","40,818","51,146","125,956","246,415","317,508","2,086,720"
Southborough,Commercial & Industrial,2017,"386,845","251,539","290,270","102,780","89,744","47,045","42,768","42,856","43,988","61,714","199,598","337,086","1,896,233"
Topsfield,Total,2018,"386,865","251,717","262,098","166,777","56,333","37,880","27,758","29,026","37,199","117,607","216,373","269,262","1,858,895"
North Reading,Commercial & Industrial,2014,"386,988","340,307","316,169","176,003","89,926","43,926","35,587","35,508","48,881","90,614","195,199","334,278","2,093,387"
Boxford,Total,2013,"387,187","346,684","294,462","177,908","87,075","56,277","45,147","48,042","59,470","135,452","271,030","402,618","2,311,352"
Ayer,Commercial & Industrial,2017,"387,458","351,974","363,712","269,359","217,913","199,377","182,257","192,357","174,660","210,936","267,455","374,196","3,191,655"
Shirley,Total,2018,"387,532","311,439","341,985","243,222","109,853","80,356","67,717","68,553","81,333","165,242","291,111","350,426","2,498,769"
Southbridge,Commercial & Industrial,2017,"388,119","360,725","368,462","222,085","143,380","109,746","97,698","99,536","109,120","151,750","275,561","399,143","2,725,324"
Littleton,Commercial & Industrial,2018,"388,213","243,977","254,344","177,057","122,477","51,668","48,519","49,304","58,081","150,708","238,538","321,553","2,104,439"
Clinton,Commercial & Industrial,2013,"388,269","429,633","333,480","233,410","148,911","116,582","108,592","104,343","120,201","159,051","275,752","401,631","2,819,854"
Great Barrington,Total,2013,"388,446","352,955","305,901","198,710","104,673","71,265","60,823","68,209","81,024","137,899","205,873","236,377","2,212,155"
Merrimac,Total,2019,"388,892","293,370","254,318","166,546","111,206","67,430","56,676","57,924","57,806","129,946","251,487","299,250","2,134,852"
East Bridgewater,Residential,2018,"389,043","271,099","276,435","181,937","70,017","42,866","34,768","34,443","43,628","118,779","227,261","316,263","2,006,539"
Pepperell,Total,2015,"389,094","361,666","319,431","182,425","75,491","52,123","46,154","39,461","46,602","105,441","181,063","230,656","2,029,608"
Orleans,Total,2014,"389,379","382,732","344,322","214,531","120,708","86,597","82,475","81,463","78,824","120,457","222,715","334,585","2,458,789"
Shirley,Total,2014,"389,475","345,815","338,045","214,106","134,183","85,304","70,600","69,210","87,591","141,671","255,751","340,973","2,472,724"
Wilbraham,Commercial & Industrial,2015,"389,730","465,923","342,987","209,816","107,893","90,821","84,025","81,321","50,717","84,686","115,497","211,564","2,234,978"
Ayer,Commercial & Industrial,2014,"389,776","343,461","327,485","228,262","185,013","167,071","160,179","152,918","172,150","200,973","249,372","341,191","2,917,851"
Acushnet,Commercial & Industrial,2018,"39,029","28,732","32,313","69,891","204,682","213,612","182,114","235,541","174,925","187,684","173,604","109,466","1,651,593"
Norfolk,Commercial & Industrial,2015,"39,252","39,452","34,203","15,865","6,783","4,509","4,223","4,032","4,110","10,010","16,622","36,849","215,910"
Mendon,Commercial & Industrial,2017,"39,284","26,728","31,794","15,285","9,424","6,374","5,275","5,327","5,291","7,877","19,989","36,363","209,013"
Essex,Commercial & Industrial,2016,"39,395","39,975","34,902","24,910","17,375","14,189","14,580","16,438","15,127","20,619","28,954","45,389","311,855"
Hopedale,Commercial & Industrial,2017,"39,483","30,783","31,471","16,748","8,517","4,794","3,362","3,663","3,782","7,658","22,515","40,098","212,873"
Plympton,Residential,2017,"39,510","20,957","19,338","12,319","7,166","4,521","3,206","3,462","3,971","7,263","14,491","26,249","162,454"
East Brookfield,Total,2017,"39,593","31,944","39,268","16,407","10,998","6,459","5,419","5,515","6,073","9,650","25,117","47,189","243,632"
Rochester,Residential,2016,"39,693","39,040","30,597","21,378","12,182","6,980","6,096","5,982","6,250","13,109","25,094","40,491","246,890"
Freetown,Residential,2018,"39,782","29,136","28,455","19,197","8,124","4,760","3,922","3,795","4,757","11,666","23,712","34,329","211,634"
Hadley,Residential,2016,"39,875","56,877","45,780","29,261","15,295","8,930","7,453","7,050","8,968","19,595","38,804","61,348","339,236"
Essex,Commercial & Industrial,2013,"39,886","34,784","33,860","22,125","15,995","14,629","15,201","15,054","14,180","18,285","28,171","44,404","296,575"
North Attleboro,Residential,2015,"390,074","448,612","477,333","361,279","145,742","76,779","58,767","50,885","53,290","69,429","134,385","352,355","2,618,930"
Weston,Commercial & Industrial,2018,"390,338","281,043","289,941","201,682","91,258","48,889","29,237","32,604","49,631","143,267","255,249","303,942","2,117,083"
North Reading,Residential,2013,"390,642","367,186","330,086","176,333","100,405","65,804","51,987","52,846","60,590","139,568","291,468","464,549","2,491,463"
Stoneham,Commercial & Industrial,2017,"390,898","359,794","361,774","204,889","129,371","81,635","61,303","61,855","71,202","114,905","246,744","417,329","2,501,699"
Carver,Total,2017,"390,928","329,313","362,190","216,078","170,203","143,634","102,612","139,855","136,278","170,229","264,347","418,365","2,844,029"
Ayer,Commercial & Industrial,2013,"390,997","344,613","343,655","322,330","77,250","50,547","70,801","65,299","62,786","94,531","132,000","195,315","2,150,123"
All Towns,Total,2016,"391,208,912","363,107,352","299,222,496","217,937,667","133,168,607","93,199,371","78,022,926","84,077,723","92,386,953","160,188,519","277,136,643","432,438,828","2,622,095,997"
Ludlow,Commercial & Industrial,2014,"391,634","166,120","34,142","168,349","98,749","68,971","68,026","68,992","73,377","92,170","210,352","328,938","1,769,821"
Pepperell,Total,2018,"391,895","270,577","279,350","182,514","79,278","46,005","39,011","37,732","46,348","130,823","262,698","320,488","2,086,719"
Ayer,Commercial & Industrial,2015,"391,905","363,622","374,756","241,916","171,430","164,696","159,412","160,869","175,270","223,931","260,275","297,061","2,985,144"
Groveland,Total,2018,"391,979","271,516","293,123","200,093","70,890","53,954","40,017","42,271","47,253","135,556","245,562","322,184","2,114,398"
Hopkinton,Commercial & Industrial,2015,"392,026","379,906","522,074","269,925","136,698","92,400","86,431","90,705","103,010","146,321","190,943","334,983","2,745,422"
Reading,Commercial & Industrial,2015,"392,130","399,238","339,456","173,116","94,829","66,599","61,975","62,966","67,127","112,266","179,121","234,879","2,183,700"
North Attleboro,Residential,2014,"392,767","374,954","394,474","276,679","165,145","76,855","53,705","48,623","50,927","60,834","135,916","282,041","2,312,920"
Mattapoisett,Total,2018,"392,857","261,403","305,960","211,878","71,585","51,832","40,002","40,625","45,696","106,919","203,713","308,220","2,040,691"
Whitman,Residential,2017,"392,991","324,466","341,549","206,124","100,523","60,800","44,337","52,167","50,769","109,424","222,739","464,855","2,370,743"
Avon,Commercial & Industrial,2016,"393,263","331,838","269,230","189,978","147,263","124,833","80,662","119,749","100,893","185,127","335,601","492,643","2,771,078"
Dracut,Commercial & Industrial,2017,"393,704","326,436","296,338","336,170","357,109","422,850","323,936","483,898","318,854","401,374","503,041","475,153","4,638,862"
Belmont,Commercial & Industrial,2017,"393,923","331,307","387,555","215,408","159,302","102,958","82,261","83,908","88,643","122,211","270,952","433,951","2,672,376"
Seekonk,Residential,2019,"394,161","361,685","315,498","184,895","98,360","51,167","42,679","41,917","52,473","118,921","243,242","322,553","2,227,550"
Manchester,Total,2017,"394,253","344,424","375,630","205,761","136,456","77,396","60,540","62,295","63,748","96,329","252,330","500,811","2,569,973"
Norton,Commercial & Industrial,2013,"394,576","366,818","335,825","206,853","95,441","41,705","47,361","56,017","69,097","145,444","278,511","413,759","2,451,408"
Milton,Commercial & Industrial,2019,"394,664","329,920","304,248","169,001","113,303","48,277","43,558","43,770","61,208","122,214","263,800","326,525","2,220,488"
Lanesborough,Residential,2016,395,Protected,Protected,Protected,,Protected,Protected,Protected,Protected,Protected,"13,790","27,332","41,517"
Boxford,Total,2016,"395,027","351,844","278,697","200,156","110,456","56,627","48,729","46,300","65,226","132,888","244,019","370,598","2,300,567"
Manchester,Residential,2015,"395,075","377,855","326,190","167,914","91,438","59,603","47,599","44,978","56,306","101,614","167,872","223,189","2,059,633"
Carver,Total,2014,"395,566","357,867","347,676","208,639","196,428","160,282","105,352","163,138","165,253","214,914","285,494","350,536","2,951,144"
Winchester,Commercial & Industrial,2015,"395,883","419,354","342,355","178,481","138,570","117,826","71,274","86,962","96,513","124,936","179,160","255,444","2,406,758"
Stoneham,Commercial & Industrial,2016,"396,021","348,388","275,637","208,923","140,533","71,403","58,358","57,867","65,956","137,671","233,430","398,149","2,392,336"
Clinton,Residential,2015,"396,144","386,205","322,893","156,479","58,426","44,363","36,602","33,715","43,130","107,105","161,101","211,826","1,957,988"
Lincoln,Total,2016,"396,340","358,984","304,036","200,414","109,644","51,260","38,989","39,124","61,439","137,911","248,530","377,253","2,323,923"
Townsend,Total,2015,"396,443","413,636","357,743","182,663","73,651","47,097","44,598","38,753","41,736","97,719","86,628","168,162","1,948,828"
West Bridgewater,Commercial & Industrial,2019,"396,730","279,610","266,442","137,233","85,171","38,510","34,718","37,190","42,940","72,703","194,635","268,810","1,854,692"
Georgetown,Total,2013,"397,619","362,196","308,618","179,673","93,478","58,961","50,060","58,212","64,725","131,987","285,627","414,780","2,405,936"
Westwood,Commercial & Industrial,2019,"397,698","356,005","310,167","183,258","125,477","87,037","67,911","68,042","74,482","142,371","252,349","338,510","2,403,308"
Littleton,Commercial & Industrial,2015,"397,974","396,720","328,481","179,405","105,957","81,930","79,812","68,370","94,022","120,320","154,379","205,403","2,212,773"
Dracut,Commercial & Industrial,2014,"397,989","373,987","345,069","282,888","279,878","332,155","340,184","351,082","440,732","467,995","426,753","422,668","4,461,380"
Amesbury,Commercial & Industrial,2015,"398,236","405,997","345,486","172,148","72,763","54,981","45,396","46,824","52,522","111,047","168,503","218,658","2,092,560"
Groveland,Total,2019,"398,412","325,568","288,542","160,266","95,116","53,082","39,906","41,245","47,828","101,345","252,482","323,371","2,127,163"
Boxford,Residential,2019,"398,495","336,824","290,545","167,335","101,558","58,225","45,042","45,621","61,058","130,826","249,911","318,812","2,204,254"
Boxford,Residential,2014,"398,660","349,237","306,763","171,150","99,990","56,435","44,822","47,561","62,075","118,013","222,842","356,581","2,234,130"
Brewster,Residential,2019,"398,666","357,141","320,629","184,838","120,297","65,779","58,719","57,558","66,398","127,413","226,500","331,539","2,315,478"
Ludlow,Commercial & Industrial,2015,"398,881","332,860","241,752","111,832","45,735","30,287","31,516","34,388","34,989","63,549","103,837","257,220","1,686,848"
Holden,Total,2015,"399,512","372,785","321,073","165,466","155,528","117,706","105,992","126,899","189,178","210,277","254,043","307,305","2,725,764"
Rowley,Total,2015,"399,572","395,424","316,953","161,070","66,084","47,884","39,280","37,254","47,870","95,833","148,853","219,093","1,975,171"
Pittsfield,Total,2014,"4,020,124","3,521,512","3,486,056","2,009,986","1,078,022","614,998","512,710","504,347","707,923","1,372,596","2,433,301","3,532,091","23,793,666"
Quincy,Total,2013,"4,022,203","3,645,667","3,226,997","2,034,056","1,077,223","716,196","628,343","632,330","727,716","1,398,375","2,783,079","4,326,354","25,218,539"
Pittsfield,Total,2015,"4,034,863","3,737,003","3,813,973","2,148,369","1,025,455","647,348","557,396","510,136","650,055","1,434,288","2,116,274","1,626,179","22,301,340"
Taunton,Total,2017,"4,039,190","2,606,768","2,437,165","1,558,778","1,115,844","610,951","509,153","550,715","560,534","964,778","1,845,152","3,152,198","19,951,227"
Medford,Total,2019,"4,042,832","3,569,861","3,043,396","1,836,497","1,194,231","777,468","659,468","670,891","755,548","1,357,056","2,680,798","3,416,883","24,004,928"
Somerville,Residential,2018,"4,054,914","2,705,051","2,681,122","1,764,607","669,627","445,166","374,315","363,995","466,433","1,170,816","2,281,644","3,213,786","20,191,477"
Cambridge,Residential,2018,"4,056,369","2,757,999","2,740,766","1,809,883","663,769","429,547","339,764","328,943","463,564","1,208,489","2,319,535","3,233,489","20,352,116"
Chicopee,Total,2017,"4,098,321","2,480,665","2,619,942","1,302,694","1,022,910","618,222","487,774","475,911","528,895","844,710","1,774,034","2,993,870","19,247,950"
Brookline,Total,2019,"4,121,033","3,705,795","3,262,057","1,969,193","1,208,378","619,245","473,135","479,956","653,463","1,482,764","2,631,351","3,411,267","24,017,636"
Haverhill,Total,2016,"4,130,108","3,774,395","2,978,714","2,276,815","1,395,356","820,233","750,991","718,941","789,226","1,474,109","2,638,291","3,955,382","25,702,562"
Lawrence,Residential,2018,"4,133,327","3,112,087","3,102,440","1,958,294","792,217","480,759","399,931","547,693","471,888","1,157,301","2,718,680","4,156,241","23,030,856"
Haverhill,Total,2017,"4,164,147","3,831,614","3,637,448","2,320,491","1,370,562","930,096","777,887","786,666","803,622","1,324,024","2,645,555","4,445,157","27,037,270"
Waltham,Total,2016,"4,166,939","3,793,298","2,934,146","2,310,834","1,475,180","791,527","728,460","733,024","820,614","1,575,968","2,655,645","4,032,552","26,018,190"
Cambridge,Residential,2015,"4,184,218","4,015,110","3,087,239","1,516,327","692,202","450,180","346,409","333,381","439,910","951,560","1,507,451","2,302,934","19,826,921"
Waltham,Total,2017,"4,205,407","3,885,845","3,821,968","2,281,762","1,432,011","970,093","843,611","824,061","879,287","1,310,559","2,701,474","4,502,858","27,658,936"
Medford,Total,2018,"4,218,825","2,893,001","2,990,722","2,076,429","984,565","632,805","613,101","598,226","764,493","1,512,659","2,854,619","3,649,974","23,789,419"
New Bedford,Residential,2019,"4,220,504","3,638,114","3,118,200","1,775,924","1,040,023","593,036","466,918","444,519","527,357","1,064,534","2,267,347","3,124,542","22,281,018"
Brockton,Residential,2017,"4,276,893","2,517,024","2,594,047","1,433,342","757,785","425,969","308,067","306,636","341,194","710,720","1,749,807","3,311,086","18,732,569"
Medford,Total,2015,"4,329,004","4,120,396","3,460,423","1,852,258","880,684","602,558","515,889","494,912","589,175","1,128,860","1,838,198","2,447,627","22,259,985"
Pittsfield,Total,2019,"4,379,956","3,782,077","3,264,477","1,978,520","1,104,234","632,183","525,953","531,478","686,899","1,521,518","2,650,069","3,510,168","24,567,532"
Lawrence,Residential,2019,"4,391,501","3,489,831","3,087,215","1,645,935","955,216","482,832","360,097","346,768","433,197","1,002,413","2,116,455","2,780,339","21,091,800"
Newton,Residential,2013,"4,409,725","3,865,457","3,519,174","1,897,654","967,292","575,857","455,853","467,411","608,265","1,475,365","3,098,011","5,365,284","26,705,348"
Fall River,Residential,2019,"4,413,490","4,019,215","3,667,453","2,059,958","1,205,274","676,458","509,998","482,916","548,306","1,076,014","2,310,046","3,315,471","24,284,599"
Methuen,Total,2017,"4,452,900","2,676,513","2,562,180","1,548,806","921,358","522,606","427,506","430,136","448,857","820,135","1,753,794","3,293,160","19,857,949"
Brookline,Total,2015,"4,472,882","4,116,574","3,589,261","2,088,507","983,736","632,148","515,579","480,895","633,306","1,278,156","1,986,860","2,750,394","23,528,298"
Barnstable,Total,2014,"4,475,307","3,919,811","3,825,565","2,182,040","1,344,357","999,079","926,110","956,287","895,954","1,243,762","2,417,800","3,460,316","26,646,386"
Framingham,Total,2016,"4,507,006","3,832,390","3,095,681","2,285,374","1,292,574","835,077","740,647","743,587","917,259","1,558,515","2,705,892","4,191,319","26,705,321"
Brookline,Total,2018,"4,510,834","3,221,122","3,099,538","2,186,023","1,022,566","613,086","481,189","475,834","624,267","1,513,728","2,890,825","3,792,844","24,431,857"
Fall River,Residential,2018,"4,545,630","3,037,367","3,141,349","2,391,321","975,893","569,486","475,872","461,654","486,250","1,004,177","2,383,611","3,471,982","22,944,592"
Somerville,Residential,2015,"4,565,776","3,939,617","3,110,406","1,603,568","691,198","474,275","411,862","380,202","478,920","932,904","1,488,307","2,226,890","20,303,925"
Lowell,Residential,2014,"4,571,132","4,117,153","3,760,110","1,967,826","968,737","559,309","470,004","477,290","577,159","1,357,201","2,655,518","4,056,033","25,537,471"
Lowell,Residential,2019,"4,592,189","3,893,951","3,385,987","1,856,807","1,105,212","589,461","454,076","444,224","556,270","1,310,799","2,844,495","3,689,805","24,723,274"
Framingham,Total,2017,"4,600,634","3,758,610","3,511,703","1,993,958","1,384,832","893,165","749,369","775,626","850,551","1,399,151","2,642,356","4,499,215","27,059,169"
Framingham,Total,2014,"4,616,981","4,334,772","3,772,245","2,201,055","1,249,626","786,007","669,077","707,372","850,356","1,484,718","2,695,065","3,945,957","27,313,231"
Framingham,Total,2015,"4,624,252","4,396,229","3,702,825","2,122,898","1,100,378","784,434","690,018","680,917","857,560","1,452,917","2,016,657","3,542,354","25,971,439"
Pittsfield,Total,2018,"4,624,941","3,439,768","3,293,015","2,446,038","1,111,516","450,836","153,298","586,764","689,581","1,689,648","3,029,164","3,971,266","25,485,834"
Barnstable,Total,2019,"4,638,167","3,964,941","3,662,908","2,181,405","1,558,303","1,011,880","876,814","918,015","911,067","1,481,505","2,760,736","3,796,666","27,762,407"
Barnstable,Total,2015,"4,669,886","4,710,963","4,107,217","2,226,602","1,220,572","1,009,051","938,693","881,167","878,581","1,443,046","2,012,386","2,518,997","26,617,162"
Framingham,Total,2019,"4,713,961","4,149,634","3,785,852","2,290,256","1,428,975","865,337","737,217","780,367","963,926","1,743,681","3,113,839","4,100,223","28,673,268"
Lawrence,Residential,2017,"4,736,835","2,877,881","2,819,808","1,640,953","946,571","560,891","433,046","419,996","458,322","850,116","2,068,276","3,588,080","21,400,774"
