gender,age,grade,q1a,q1b,q2a,q2b,q3a,q1,q2,q3,q4
Girl,10,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,10,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Increased,Maintained
Boy,10,4,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Decreased,Decreased,Decreased,Maintained
Girl,10,4,A little or none of the time,A little or none of the time,A little or none of the time,A little or none of the time,A little or none of the time,Maintained,Maintained,Maintained,Maintained
Girl,9,4,Sometimes,Most or all of the time,Sometimes,Sometimes,Sometimes,Increased,Maintained,Decreased,Maintained
Prefer not to answer,10,4,Sometimes,A little or none of the time,A little or none of the time,A little or none of the time,Sometimes,Decreased,Maintained,Decreased,Maintained
Girl,10,4,Sometimes,NA,Sometimes,Most or all of the time,Sometimes,NA,Increased,Maintained,Increased
Girl,9,3,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Decreased,Decreased
Boy,9,3,Sometimes,A little or none of the time,A little or none of the time,A little or none of the time,A little or none of the time,Decreased,Maintained,Maintained,Maintained
Girl,8,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Increased
Girl,8,3,A little or none of the time,Most or all of the time,A little or none of the time,Most or all of the time,A little or none of the time,Increased,Increased,Increased,Increased
Prefer not to answer,9,3,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Sometimes,Decreased,Increased,Increased,Increased
Boy,9,3,Sometimes,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Increased,Decreased,Maintained,Increased
Boy,9,3,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
Girl,9,3,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Decreased,Maintained,Maintained,Maintained
Boy,8,3,A little or none of the time,Sometimes,Sometimes,Sometimes,Sometimes,Increased,Maintained,Decreased,Maintained
Girl,9,3,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Increased,Increased,Increased,Increased
Girl,9,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,A little or none of the time,Maintained,Increased,Increased,Increased
Girl,8,3,Most or all of the time,Most or all of the time,Sometimes,A little or none of the time,A little or none of the time,Maintained,Decreased,Increased,Maintained
Prefer not to answer,9,3,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Decreased,Maintained
Boy,9,3,A little or none of the time,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Girl,NA,3,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Decreased
NA,9,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Decreased,NA
Girl,9,3,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Decreased
Girl,8,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Increased
NA,9,3,Sometimes,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Maintained
Prefer not to answer,8,3,A little or none of the time,A little or none of the time,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,8,3,Sometimes,Most or all of the time,Sometimes,Most or all of the time,A little or none of the time,Increased,Increased,Increased,Increased
Boy,9,3,Sometimes,Sometimes,A little or none of the time,A little or none of the time,A little or none of the time,Maintained,Maintained,Maintained,Maintained
Girl,8,3,A little or none of the time,Sometimes,Sometimes,Most or all of the time,A little or none of the time,Increased,Increased,Increased,Increased
Boy,9,3,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,9,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Increased
Boy,9,3,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Decreased,Maintained,Decreased,Maintained
Prefer not to answer,8,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,8,3,Sometimes,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Maintained
Girl,8,3,Sometimes,NA,A little or none of the time,Sometimes,Most or all of the time,NA,Increased,Maintained,Maintained
Boy,10,4,A little or none of the time,A little or none of the time,A little or none of the time,A little or none of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
Girl,9,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
Girl,9,4,Sometimes,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Increased
Prefer not to answer,9,3,A little or none of the time,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Increased,Decreased,Maintained,Maintained
Girl,10,4,NA,A little or none of the time,NA,Sometimes,Most or all of the time,NA,NA,Maintained,NA
Girl,10,4,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,Increased,Maintained,Increased,Maintained
Prefer not to answer,10,4,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Increased
Prefer not to answer,10,4,Sometimes,Sometimes,NA,NA,A little or none of the time,Maintained,NA,Maintained,Maintained
Boy,10,4,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
Boy,10,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
NA,NA,NA,Sometimes,Sometimes,A little or none of the time,Sometimes,NA,Maintained,Increased,NA,Maintained
Boy,9,4,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Decreased
Girl,10,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Girl,10,4,Sometimes,Sometimes,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Maintained,Maintained
Boy,10,4,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Increased
Prefer not to answer,10,4,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Increased
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,10,4,Sometimes,A little or none of the time,A little or none of the time,A little or none of the time,Sometimes,Decreased,Maintained,Increased,Maintained
Girl,9,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,A little or none of the time,Increased,Increased,Increased,Increased
Girl,10,4,A little or none of the time,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Maintained
Girl,10,4,A little or none of the time,Most or all of the time,A little or none of the time,Most or all of the time,A little or none of the time,Increased,Increased,Maintained,Decreased
Boy,10,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Increased,Maintained
Boy,8,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Maintained,Maintained
Boy,10,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Maintained,Maintained
Boy,10,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,Maintained,Maintained,Increased,Maintained
Girl,10,4,A little or none of the time,Most or all of the time,A little or none of the time,Sometimes,A little or none of the time,Increased,Increased,Increased,Increased
Boy,10,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,4,Sometimes,Sometimes,Most or all of the time,Sometimes,A little or none of the time,Maintained,Decreased,Increased,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
NA,10,5,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,12,5,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,11,5,A little or none of the time,A little or none of the time,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Maintained,Increased
Boy,11,5,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Maintained,Decreased,Maintained,Maintained
Boy,11,5,A little or none of the time,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
Boy,11,5,Sometimes,Sometimes,Sometimes,Most or all of the time,A little or none of the time,Maintained,Increased,Increased,Maintained
Boy,11,5,A little or none of the time,Sometimes,A little or none of the time,Sometimes,A little or none of the time,Increased,Increased,Maintained,Maintained
Prefer not to answer,10,5,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Increased,Increased,Increased,Increased
Boy,12,5,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Maintained,Increased
Boy,10,5,A little or none of the time,A little or none of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Increased,Maintained
Prefer not to answer,11,5,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Decreased
Girl,10,5,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Maintained
Boy,11,5,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Increased
Girl,11,5,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Increased
Prefer not to answer,10,5,A little or none of the time,Sometimes,Sometimes,Most or all of the time,Sometimes,Increased,Increased,Maintained,Maintained
Prefer not to answer,11,5,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Increased,Maintained
Boy,11,5,A little or none of the time,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Increased,Decreased,Increased,Maintained
Girl,11,5,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Increased,Maintained
Girl,10,4,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Decreased,Decreased,Maintained,Decreased
Girl,9,4,A little or none of the time,A little or none of the time,Sometimes,A little or none of the time,Sometimes,Maintained,Decreased,Maintained,Maintained
Boy,9,4,A little or none of the time,Sometimes,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Maintained,Increased
Boy,10,4,Sometimes,Sometimes,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Maintained,Maintained
Prefer not to answer,10,4,A little or none of the time,Sometimes,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Increased,Increased
Boy,10,4,A little or none of the time,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Increased,Decreased,Maintained,Maintained
Boy,10,4,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Increased,Decreased,Decreased,Increased
Boy,NA,4,Most or all of the time,A little or none of the time,A little or none of the time,Sometimes,A little or none of the time,Decreased,Increased,Increased,Maintained
Boy,10,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
Girl,10,4,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Decreased,Decreased
Girl,10,4,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Sometimes,Increased,Increased,Increased,Maintained
NA,10,4,Sometimes,Sometimes,Most or all of the time,Sometimes,Sometimes,Maintained,Decreased,Decreased,Increased
Boy,10,4,NA,Sometimes,NA,Most or all of the time,NA,NA,NA,NA,NA
Boy,10,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Prefer not to answer,10,5,A little or none of the time,Sometimes,Most or all of the time,Sometimes,A little or none of the time,Increased,Decreased,Increased,Increased
Boy,10,5,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Maintained
Girl,10,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Increased
Girl,9,4,A little or none of the time,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
Girl,10,4,Sometimes,Sometimes,A little or none of the time,Most or all of the time,A little or none of the time,Maintained,Increased,Maintained,Maintained
Girl,10,4,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,10,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,Maintained,Maintained,Increased,Maintained
Prefer not to answer,9,4,A little or none of the time,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Prefer not to answer,9,4,Sometimes,Sometimes,Most or all of the time,Sometimes,Sometimes,Maintained,Decreased,Maintained,Decreased
Boy,10,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Increased,Increased
Boy,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Decreased
Boy,9,3,Sometimes,Most or all of the time,Sometimes,Sometimes,A little or none of the time,Increased,Maintained,Maintained,Maintained
Prefer not to answer,8,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Decreased
Boy,9,3,A little or none of the time,Sometimes,A little or none of the time,A little or none of the time,Sometimes,Increased,Maintained,Decreased,Maintained
Girl,9,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,3,Most or all of the time,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Decreased,Increased,Maintained,Maintained
Boy,9,3,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Decreased
Boy,8,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,8,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Increased
Girl,8,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Increased
Boy,8,3,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Increased,Decreased,Decreased,Decreased
Boy,8,3,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Maintained,Maintained
Girl,9,3,Most or all of the time,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Decreased
Boy,9,3,Sometimes,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Maintained
Girl,9,3,Most or all of the time,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Maintained
Girl,8,3,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,Increased,Maintained,Increased,Increased
Girl,8,3,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Sometimes,Decreased,Increased,Maintained,Decreased
NA,8,3,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Increased,Decreased,Maintained,Decreased
Girl,9,3,Sometimes,Most or all of the time,Sometimes,A little or none of the time,A little or none of the time,Increased,Decreased,Maintained,Decreased
Boy,9,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Increased,Decreased
Girl,8,3,A little or none of the time,Sometimes,Most or all of the time,Most or all of the time,A little or none of the time,Increased,Maintained,Maintained,Maintained
NA,8,3,Sometimes,A little or none of the time,Sometimes,Sometimes,Most or all of the time,Decreased,Maintained,Decreased,Decreased
Girl,9,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Increased
Boy,9,3,Sometimes,Most or all of the time,A little or none of the time,A little or none of the time,Most or all of the time,Increased,Maintained,Maintained,Decreased
Girl,8,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Increased,Maintained
Girl,9,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,3,Sometimes,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Decreased
Boy,8,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Decreased
Boy,8,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Increased,Increased
Boy,8,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Maintained
Boy,9,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Decreased,Increased
Girl,NA,NA,Sometimes,Most or all of the time,A little or none of the time,Sometimes,A little or none of the time,Increased,Increased,Increased,Maintained
Boy,9,3,Sometimes,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Increased,Decreased,Maintained,Maintained
Boy,8,3,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,10,5,Most or all of the time,Sometimes,Sometimes,Most or all of the time,A little or none of the time,Decreased,Increased,Increased,Increased
Boy,9,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Girl,9,3,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Sometimes,Increased,Increased,Increased,Increased
Girl,10,5,Sometimes,Sometimes,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Increased,Maintained
Girl,10,5,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,5,A little or none of the time,A little or none of the time,A little or none of the time,Sometimes,A little or none of the time,Maintained,Increased,Maintained,Maintained
Boy,10,5,Most or all of the time,NA,A little or none of the time,A little or none of the time,Most or all of the time,NA,Maintained,Maintained,Maintained
Boy,10,5,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Increased,Maintained
Boy,11,5,A little or none of the time,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
Boy,11,5,A little or none of the time,A little or none of the time,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Prefer not to answer,10,5,Sometimes,Sometimes,A little or none of the time,Sometimes,A little or none of the time,Maintained,Increased,Increased,Maintained
Boy,10,5,A little or none of the time,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Boy,11,5,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Maintained
Girl,11,5,A little or none of the time,Sometimes,A little or none of the time,Sometimes,A little or none of the time,Increased,Increased,Increased,Increased
Girl,10,5,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Increased,Maintained
Boy,11,5,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,NA
Girl,11,5,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,11,5,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Maintained,Maintained
Girl,10,5,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Girl,10,5,A little or none of the time,A little or none of the time,A little or none of the time,A little or none of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
Girl,11,5,Sometimes,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Maintained
Boy,11,5,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Sometimes,Increased,Increased,Increased,Increased
Boy,9,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,9,4,Sometimes,Sometimes,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Increased,Maintained
Girl,9,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Increased
Girl,9,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Decreased,Maintained
Boy,9,4,Sometimes,Sometimes,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Increased,Maintained
Girl,9,4,A little or none of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
Boy,9,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Maintained,Maintained
Girl,9,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Girl,9,4,A little or none of the time,Sometimes,Sometimes,Sometimes,A little or none of the time,Increased,Maintained,Increased,Increased
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,9,4,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,4,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Decreased,Increased
Boy,9,4,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,10,4,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Maintained
Not listed (may specify here),9,4,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Prefer not to answer,10,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
Prefer not to answer,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Not listed (may specify here),9,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
Prefer not to answer,11,4,Sometimes,Sometimes,NA,A little or none of the time,Sometimes,Maintained,NA,Increased,Maintained
Prefer not to answer,9,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Prefer not to answer,9,4,Sometimes,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Maintained,Decreased,Increased,Maintained
Girl,9,4,Sometimes,Most or all of the time,Sometimes,Sometimes,Sometimes,Increased,Maintained,Increased,Increased
Boy,9,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Increased,Increased,Maintained,Maintained
Boy,10,4,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Decreased,Maintained
Girl,9,4,Sometimes,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Increased
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Increased,Maintained
Girl,9,4,Most or all of the time,Sometimes,Sometimes,Sometimes,Most or all of the time,Decreased,Maintained,Maintained,Maintained
Girl,9,4,A little or none of the time,Sometimes,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Increased,Increased
Girl,10,4,Sometimes,Most or all of the time,Sometimes,Sometimes,Sometimes,Increased,Maintained,Maintained,Maintained
Girl,10,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Increased
Boy,9,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,NA,Maintained,Maintained,NA,Increased
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,A little or none of the time,Maintained,Increased,Maintained,Increased
Girl,9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Maintained
Boy,10,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Maintained,Maintained
Girl,9,4,A little or none of the time,A little or none of the time,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Maintained,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,10,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
Prefer not to answer,11,NA,NA,Sometimes,A little or none of the time,A little or none of the time,NA,NA,Maintained,NA,NA
Boy,11,5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Increased,Decreased
Not listed (may specify here),11,5,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,NA,Maintained
Prefer not to answer,11,5,Sometimes,NA,Sometimes,NA,NA,NA,NA,NA,NA
Girl,11,5,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,NA
Boy,11,5,Most or all of the time,Sometimes,A little or none of the time,Sometimes,Sometimes,Decreased,Increased,Maintained,Maintained
NA,12,12,Sometimes,NA,Most or all of the time,NA,A little or none of the time,NA,NA,Increased,NA
Boy,11,5,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Sometimes,Decreased,Decreased,Decreased,NA
Girl,10,5,A little or none of the time,Sometimes,Sometimes,Sometimes,A little or none of the time,Increased,Maintained,Increased,Increased
Prefer not to answer,9,3,A little or none of the time,NA,A little or none of the time,A little or none of the time,A little or none of the time,NA,Maintained,Maintained,Maintained
Girl,8,3,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Girl,8,3,A little or none of the time,A little or none of the time,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Increased
Prefer not to answer,8,3,Most or all of the time,Most or all of the time,Most or all of the time,NA,Most or all of the time,Maintained,NA,NA,NA
Girl,8,3,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Sometimes,Decreased,Increased,Decreased,Decreased
Girl,8,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
NA,NA,NA,Most or all of the time,Most or all of the time,NA,NA,NA,Maintained,NA,NA,NA
NA,NA,NA,A little or none of the time,Sometimes,NA,NA,NA,Increased,NA,NA,NA
